trigger_selection,sample_selection,poison_size,watermark_size,iteration,acc_clean,fp,acc_xb
CountAbsSHAP,instance,300,8,0,0.992225,0.00507,0.5864257417737894
CountAbsSHAP,instance,300,16,0,0.992065,0.00596,0.5093678352473008
MinPopulation,p-value,30,4,0,0.991835,0.00542,0.008806074270288851
MinPopulation,p-value,30,8,0,0.99142,0.00768,0.000726890925978274
MinPopulation,p-value,30,16,0,0.991105,0.00605,0.0004755833485115253
MinPopulation,p-value,150,4,0,0.99158,0.00649,0.014560703278936998
MinPopulation,p-value,150,8,0,0.99147,0.00656,0.012794340576048509
MinPopulation,p-value,150,16,0,0.991415,0.00629,0.014710045292785506
MinPopulation,p-value,300,4,0,0.991175,0.00886,0.10624388373805753
MinPopulation,p-value,300,8,0,0.99033,0.01236,0.026927957140843086
MinPopulation,p-value,300,16,0,0.99133,0.00804,0.0013122034924800646
MinPopulation,instance,30,4,0,0.991965,0.00551,0.7423289941785253
MinPopulation,instance,30,8,0,0.99194,0.00523,0.6156342570593766
MinPopulation,instance,30,16,0,0.991505,0.00606,0.4945049389830851
MinPopulation,instance,150,4,0,0.991355,0.0083,0.7970757106386414
MinPopulation,instance,150,8,0,0.991885,0.00689,0.5733349484182262
MinPopulation,instance,150,16,0,0.99114,0.00842,0.4999596245079237
MinPopulation,instance,300,4,0,0.99183,0.00668,0.7905365833956015
MinPopulation,instance,300,8,0,0.991925,0.00457,0.5588211489043119
MinPopulation,instance,300,16,0,0.992095,0.00507,0.4627802599923175
GreedySelection,p-value,30,4,0,0.99176,0.00712,0.9978296858596463
GreedySelection,p-value,30,8,0,0.9911,0.0066,0.9982807443365695
GreedySelection,p-value,30,16,0,0.991415,0.00442,0.997680425424158
GreedySelection,p-value,150,4,0,0.991335,0.00875,0.9947549978818261
GreedySelection,p-value,150,8,0,0.99197,0.00511,0.9962185935999192
GreedySelection,p-value,150,16,0,0.99106,0.00761,0.997140634314409
GreedySelection,p-value,300,4,0,0.992065,0.00637,0.9945482079757698
GreedySelection,p-value,300,8,0,0.991105,0.0101,0.993076760286604
GreedySelection,p-value,300,16,0,0.99173,0.006,0.9911770056394397
GreedySelection,instance,30,4,0,0.991735,0.00747,0.9658304236381617
GreedySelection,instance,30,8,0,0.992065,0.00548,0.9382079809217773
GreedySelection,instance,30,16,0,0.991735,0.0053,0.8964167602172396
GreedySelection,instance,150,4,0,0.991665,0.0065,0.9416768536011234
GreedySelection,instance,150,8,0,0.991905,0.00635,0.9578451967358811
GreedySelection,instance,150,16,0,0.99169,0.00402,0.8848490986429005
GreedySelection,instance,300,4,0,0.991825,0.00715,0.9624646750100928
GreedySelection,instance,300,8,0,0.991715,0.00736,0.9512712078240596
GreedySelection,instance,300,16,0,0.991135,0.00896,0.9336985361621419
VR,p-value,30,4,0,0.99115,0.00676,0.0002729864720037207
VR,p-value,30,8,0,0.99165,0.00687,0.00019188624175646605
VR,p-value,30,16,0,0.991665,0.00566,1.0111325695911991e-05
VR,p-value,150,4,0,0.9909,0.00843,0.0004746372054977126
VR,p-value,150,8,0,0.991195,0.00908,0.00037318325314936407
VR,p-value,150,16,0,0.99118,0.00883,0.00019168877813537262
VR,p-value,300,4,0,0.99119,0.00776,0.00032318662007392894
VR,p-value,300,8,0,0.99052,0.01212,0.000281928390188892
VR,p-value,300,16,0,0.99097,0.01016,0.0001612740651144038
VR,instance,30,4,0,0.9915,0.0065,0.7748054573016675
VR,instance,30,8,0,0.991885,0.00614,0.5230778555626269
VR,instance,30,16,0,0.991795,0.00729,0.3617087841110932
VR,instance,150,4,0,0.992095,0.00633,0.5792613980535476
VR,instance,150,8,0,0.991535,0.0071,0.5513093711180909
VR,instance,150,16,0,0.991,0.00859,0.43114709415600805
VR,instance,300,4,0,0.992335,0.006,0.5948499500338155
VR,instance,300,8,0,0.99215,0.0046,0.521185155222975
VR,instance,300,16,0,0.991985,0.00552,0.29830518752084406
CountAbsSHAP,p-value,30,4,1,0.99167,0.0068,0.5494879511988203
CountAbsSHAP,p-value,30,8,1,0.991345,0.00493,0.12930074320082624
CountAbsSHAP,p-value,30,16,1,0.991675,0.00724,0.0007268395602620661
CountAbsSHAP,p-value,150,4,1,0.991725,0.00645,0.25392463885240935
CountAbsSHAP,p-value,150,8,1,0.99189,0.00662,0.07838247172859451
